,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,0,3,male,22.0,1,0,7.25,No,S
1,1,1,female,38.0,1,0,71.2833,Yes,C
2,1,3,female,26.0,0,0,7.925,No,S
3,1,1,female,35.0,1,0,53.1,Yes,S
4,0,3,male,35.0,0,0,8.05,No,S
5,0,3,male,23.838952586083504,0,0,8.4583,No,Q
6,0,1,male,54.0,0,0,51.8625,Yes,S
7,0,3,male,2.0,3,1,21.075,No,S
8,1,3,female,27.0,0,2,11.1333,No,S
9,1,2,female,14.0,1,0,30.0708,No,C
10,1,3,female,4.0,1,1,16.7,Yes,S
11,1,1,female,58.0,0,0,26.55,Yes,S
12,0,3,male,20.0,0,0,8.05,No,S
13,0,3,male,39.0,1,5,31.275,No,S
14,0,3,female,14.0,0,0,7.8542,No,S
15,1,2,female,55.0,0,0,16.0,No,S
16,0,3,male,2.0,4,1,29.125,No,Q
17,1,2,male,32.066493050061574,0,0,13.0,No,S
18,0,3,female,31.0,1,0,18.0,No,S
19,1,3,female,29.51820514208015,0,0,7.225,No,C
20,0,2,male,35.0,0,0,26.0,No,S
21,1,2,male,34.0,0,0,13.0,Yes,S
22,1,3,female,15.0,0,0,8.0292,No,Q
23,1,1,male,28.0,0,0,35.5,Yes,S
24,0,3,female,8.0,3,1,21.075,No,S
25,1,3,female,38.0,1,5,31.3875,No,S
26,0,3,male,29.51820514208015,0,0,7.225,No,C
27,0,1,male,19.0,3,2,263.0,Yes,S
28,1,3,female,22.380113238826777,0,0,7.8792,No,Q
29,0,3,male,27.947206162930836,0,0,7.8958,No,S
30,0,1,male,40.0,0,0,27.7208,No,C
31,1,1,female,36.108048222222244,1,0,146.5208,Yes,C
32,1,3,female,35.29582429902353,0,0,7.75,No,Q
33,0,2,male,66.0,0,0,10.5,No,S
34,0,1,male,28.0,1,0,82.1708,No,C
35,0,1,male,42.0,1,0,52.0,No,S
36,1,3,male,22.8763068618881,0,0,7.2292,No,C
37,0,3,male,21.0,0,0,8.05,No,S
38,0,3,female,18.0,2,0,18.0,No,S
39,1,3,female,14.0,1,0,11.2417,No,C
40,0,3,female,40.0,1,0,9.475,No,S
41,0,2,female,27.0,1,0,21.0,No,S
42,0,3,male,27.947206162930836,0,0,7.8958,No,C
43,1,2,female,3.0,1,2,41.5792,No,C
44,1,3,female,19.0,0,0,7.8792,No,Q
45,0,3,male,30.70572677927052,0,0,8.05,No,S
46,0,3,male,33.12898535353537,1,0,15.5,No,Q
47,1,3,female,35.29582429902353,0,0,7.75,No,Q
48,0,3,male,23.459683333333334,2,0,21.6792,No,C
49,0,3,female,18.0,1,0,17.8,No,S
50,0,3,male,7.0,4,1,39.6875,No,S
51,0,3,male,21.0,0,0,7.8,No,S
52,1,1,female,49.0,1,0,76.7292,Yes,C
53,1,2,female,29.0,1,0,26.0,No,S
54,0,1,male,65.0,0,1,61.9792,Yes,C
55,1,1,male,44.06483035714284,0,0,35.5,Yes,S
56,1,2,female,21.0,0,0,10.5,No,S
57,0,3,male,28.5,0,0,7.2292,No,C
58,1,2,female,5.0,1,2,27.75,No,S
59,0,3,male,11.0,5,2,46.9,No,S
60,0,3,male,22.0,0,0,7.2292,No,C
61,1,1,female,38.0,0,0,80.0,Yes,
62,0,1,male,45.0,1,0,83.475,Yes,S
63,0,3,male,4.0,3,2,27.9,No,S
64,0,1,male,41.20008847763861,0,0,27.7208,No,C
65,1,3,male,17.099915952380954,1,1,15.2458,No,C
66,1,2,female,29.0,0,0,10.5,Yes,S
67,0,3,male,19.0,0,0,8.1583,No,S
68,1,3,female,17.0,4,2,7.925,No,S
69,0,3,male,26.0,2,0,8.6625,No,S
70,0,2,male,32.0,0,0,10.5,No,S
71,0,3,female,16.0,5,2,46.9,No,S
72,0,2,male,21.0,0,0,73.5,No,S
73,0,3,male,26.0,1,0,14.4542,No,C
74,1,3,male,32.0,0,0,56.4958,No,S
75,0,3,male,25.0,0,0,7.65,Yes,S
76,0,3,male,27.947206162930836,0,0,7.8958,No,S
77,0,3,male,30.70572677927052,0,0,8.05,No,S
78,1,2,male,0.83,0,2,29.0,No,S
79,1,3,female,30.0,0,0,12.475,No,S
80,0,3,male,22.0,0,0,9.0,No,S
81,1,3,male,29.0,0,0,9.5,No,S
82,1,3,female,23.322627388583673,0,0,7.7875,No,Q
83,0,1,male,28.0,0,0,47.1,No,S
84,1,2,female,17.0,0,0,10.5,No,S
85,1,3,female,33.0,3,0,15.85,No,S
86,0,3,male,16.0,1,3,34.375,No,S
87,0,3,male,30.70572677927052,0,0,8.05,No,S
88,1,1,female,23.0,3,2,263.0,Yes,S
89,0,3,male,24.0,0,0,8.05,No,S
90,0,3,male,29.0,0,0,8.05,No,S
91,0,3,male,20.0,0,0,7.8542,No,S
92,0,1,male,46.0,1,0,61.175,Yes,S
93,0,3,male,26.0,1,2,20.575,No,S
94,0,3,male,59.0,0,0,7.25,No,S
95,0,3,male,30.70572677927052,0,0,8.05,No,S
96,0,1,male,71.0,0,0,34.6542,Yes,C
97,1,1,male,23.0,0,1,63.3583,Yes,C
98,1,2,female,34.0,0,1,23.0,No,S
99,0,2,male,34.0,1,0,26.0,No,S
100,0,3,female,28.0,0,0,7.8958,No,S
101,0,3,male,27.947206162930836,0,0,7.8958,No,S
102,0,1,male,21.0,0,1,77.2875,Yes,S
103,0,3,male,33.0,0,0,8.6542,No,S
104,0,3,male,37.0,2,0,7.925,No,S
105,0,3,male,28.0,0,0,7.8958,No,S
106,1,3,female,21.0,0,0,7.65,No,S
107,1,3,male,27.51545426285116,0,0,7.775,No,S
108,0,3,male,38.0,0,0,7.8958,No,S
109,1,3,female,33.55117590897664,1,0,24.15,No,Q
110,0,1,male,47.0,0,0,52.0,Yes,S
111,0,3,female,14.5,1,0,14.4542,No,C
112,0,3,male,22.0,0,0,8.05,No,S
113,0,3,female,20.0,1,0,9.825,No,S
114,0,3,female,17.0,0,0,14.4583,No,C
115,0,3,male,21.0,0,0,7.925,No,S
116,0,3,male,70.5,0,0,7.75,No,Q
117,0,2,male,29.0,1,0,21.0,No,S
118,0,1,male,24.0,0,1,247.5208,Yes,C
119,0,3,female,2.0,4,2,31.275,No,S
120,0,2,male,21.0,2,0,73.5,No,S
121,0,3,male,30.70572677927052,0,0,8.05,No,S
122,0,2,male,32.5,1,0,30.0708,No,C
123,1,2,female,32.5,0,0,13.0,Yes,S
124,0,1,male,54.0,0,1,77.2875,Yes,S
125,1,3,male,12.0,1,0,11.2417,No,C
126,0,3,male,35.29582429902353,0,0,7.75,No,Q
127,1,3,male,24.0,0,0,7.1417,No,S
128,1,3,female,25.78337698412699,1,1,22.3583,Yes,C
129,0,3,male,45.0,0,0,6.975,No,S
130,0,3,male,33.0,0,0,7.8958,No,C
131,0,3,male,20.0,0,0,7.05,No,S
132,0,3,female,47.0,1,0,14.5,No,S
133,1,2,female,29.0,1,0,26.0,No,S
134,0,2,male,25.0,0,0,13.0,No,S
135,0,2,male,23.0,0,0,15.0458,No,C
136,1,1,female,19.0,0,2,26.2833,Yes,S
137,0,1,male,37.0,1,0,53.1,Yes,S
138,0,3,male,16.0,0,0,9.2167,No,S
139,0,1,male,24.0,0,0,79.2,Yes,C
140,0,3,female,25.344095833333334,0,2,15.2458,No,C
141,1,3,female,22.0,0,0,7.75,No,S
142,1,3,female,24.0,1,0,15.85,No,S
143,0,3,male,19.0,0,0,6.75,No,Q
144,0,2,male,18.0,0,0,11.5,No,S
145,0,2,male,19.0,1,1,36.75,No,S
146,1,3,male,27.0,0,0,7.7958,No,S
147,0,3,female,9.0,2,2,34.375,No,S
148,0,2,male,36.5,0,2,26.0,Yes,S
149,0,2,male,42.0,0,0,13.0,No,S
150,0,2,male,51.0,0,0,12.525,No,S
151,1,1,female,22.0,1,0,66.6,Yes,S
152,0,3,male,55.5,0,0,8.05,No,S
153,0,3,male,40.5,0,2,14.5,No,S
154,0,3,male,29.78279612980004,0,0,7.3125,No,S
155,0,1,male,51.0,0,1,61.3792,No,C
156,1,3,female,16.0,0,0,7.7333,No,Q
157,0,3,male,30.0,0,0,8.05,No,S
158,0,3,male,25.523403343773115,0,0,8.6625,No,S
159,0,3,male,10.869866956654464,8,2,69.55,No,S
160,0,3,male,44.0,0,1,16.1,No,S
161,1,2,female,40.0,0,0,15.75,No,S
162,0,3,male,26.0,0,0,7.775,No,S
163,0,3,male,17.0,0,0,8.6625,No,S
164,0,3,male,1.0,4,1,39.6875,No,S
165,1,3,male,9.0,0,2,20.525,No,S
166,1,1,female,26.031882142857135,0,1,55.0,Yes,S
167,0,3,female,45.0,1,4,27.9,No,S
168,0,1,male,49.55427559523808,0,0,25.925,No,S
169,0,3,male,28.0,0,0,56.4958,No,S
170,0,1,male,61.0,0,0,33.5,Yes,S
171,0,3,male,4.0,4,1,29.125,No,Q
172,1,3,female,1.0,1,1,11.1333,No,S
173,0,3,male,21.0,0,0,7.925,No,S
174,0,1,male,56.0,0,0,30.6958,Yes,C
175,0,3,male,18.0,1,1,7.8542,No,S
176,0,3,male,7.309547041847048,3,1,25.4667,No,S
177,0,1,female,50.0,0,0,28.7125,Yes,C
178,0,2,male,30.0,0,0,13.0,No,S
179,0,3,male,36.0,0,0,0.0,No,S
180,0,3,female,10.869866956654464,8,2,69.55,No,S
181,0,2,male,31.718940476190475,0,0,15.05,No,C
182,0,3,male,9.0,4,2,31.3875,No,S
183,1,2,male,1.0,2,1,39.0,Yes,S
184,1,3,female,4.0,0,2,22.025,No,S
185,0,1,male,46.2497682359308,0,0,50.0,Yes,S
186,1,3,female,33.12898535353537,1,0,15.5,No,Q
187,1,1,male,45.0,0,0,26.55,No,S
188,0,3,male,40.0,1,1,15.5,No,Q
189,0,3,male,36.0,0,0,7.8958,No,S
190,1,2,female,32.0,0,0,13.0,No,S
191,0,2,male,19.0,0,0,13.0,No,S
192,1,3,female,19.0,1,0,7.8542,No,S
193,1,2,male,3.0,1,1,26.0,Yes,S
194,1,1,female,44.0,0,0,27.7208,Yes,C
195,1,1,female,58.0,0,0,146.5208,Yes,C
196,0,3,male,35.29582429902353,0,0,7.75,No,Q
197,0,3,male,42.0,0,1,8.4042,No,S
198,1,3,female,35.29582429902353,0,0,7.75,No,Q
199,0,2,female,24.0,0,0,13.0,No,S
200,0,3,male,28.0,0,0,9.5,No,S
201,0,3,male,10.869866956654464,8,2,69.55,No,S
202,0,3,male,34.0,0,0,6.4958,No,S
203,0,3,male,45.5,0,0,7.225,No,C
204,1,3,male,18.0,0,0,8.05,No,S
205,0,3,female,2.0,0,1,10.4625,Yes,S
206,0,3,male,32.0,1,0,15.85,No,S
207,1,3,male,26.0,0,0,18.7875,No,C
208,1,3,female,16.0,0,0,7.75,No,Q
209,1,1,male,40.0,0,0,31.0,Yes,C
210,0,3,male,24.0,0,0,7.05,No,S
211,1,2,female,35.0,0,0,21.0,No,S
212,0,3,male,22.0,0,0,7.25,No,S
213,0,2,male,30.0,0,0,13.0,No,S
214,0,3,male,31.09342985049901,1,0,7.75,No,Q
215,1,1,female,31.0,1,0,113.275,Yes,C
