,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Survived_0,Survived_1
0,22.0,1,0,7.25,1,0,0,0,1,0,1,0,0,1,1,0
1,38.0,1,0,71.2833,0,1,1,0,0,1,0,1,0,0,0,1
2,26.0,0,0,7.925,1,0,0,0,1,1,0,0,0,1,0,1
3,35.0,1,0,53.1,0,1,0,0,1,1,0,1,0,0,0,1
4,35.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
5,23.838952586083504,0,0,8.4583,1,0,0,1,0,0,1,0,0,1,1,0
6,54.0,0,0,51.8625,0,1,0,0,1,0,1,1,0,0,1,0
7,2.0,3,1,21.075,1,0,0,0,1,0,1,0,0,1,1,0
8,27.0,0,2,11.1333,1,0,0,0,1,1,0,0,0,1,0,1
9,14.0,1,0,30.0708,1,0,1,0,0,1,0,0,1,0,0,1
10,4.0,1,1,16.7,0,1,0,0,1,1,0,0,0,1,0,1
11,58.0,0,0,26.55,0,1,0,0,1,1,0,1,0,0,0,1
12,20.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
13,39.0,1,5,31.275,1,0,0,0,1,0,1,0,0,1,1,0
14,14.0,0,0,7.8542,1,0,0,0,1,1,0,0,0,1,1,0
15,55.0,0,0,16.0,1,0,0,0,1,1,0,0,1,0,0,1
16,2.0,4,1,29.125,1,0,0,1,0,0,1,0,0,1,1,0
17,32.06649305006158,0,0,13.0,1,0,0,0,1,0,1,0,1,0,0,1
18,31.0,1,0,18.0,1,0,0,0,1,1,0,0,0,1,1,0
19,29.51820514208015,0,0,7.225,1,0,1,0,0,1,0,0,0,1,0,1
20,35.0,0,0,26.0,1,0,0,0,1,0,1,0,1,0,1,0
21,34.0,0,0,13.0,0,1,0,0,1,0,1,0,1,0,0,1
22,15.0,0,0,8.0292,1,0,0,1,0,1,0,0,0,1,0,1
23,28.0,0,0,35.5,0,1,0,0,1,0,1,1,0,0,0,1
24,8.0,3,1,21.075,1,0,0,0,1,1,0,0,0,1,1,0
25,38.0,1,5,31.3875,1,0,0,0,1,1,0,0,0,1,0,1
26,29.51820514208015,0,0,7.225,1,0,1,0,0,0,1,0,0,1,1,0
27,19.0,3,2,263.0,0,1,0,0,1,0,1,1,0,0,1,0
28,22.380113238826777,0,0,7.8792,1,0,0,1,0,1,0,0,0,1,0,1
29,27.947206162930836,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,1,0
30,40.0,0,0,27.7208,1,0,1,0,0,0,1,1,0,0,1,0
31,36.108048222222244,1,0,146.5208,0,1,1,0,0,1,0,1,0,0,0,1
32,35.295824299023515,0,0,7.75,1,0,0,1,0,1,0,0,0,1,0,1
33,66.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0,1,0
34,28.0,1,0,82.1708,1,0,1,0,0,0,1,1,0,0,1,0
35,42.0,1,0,52.0,1,0,0,0,1,0,1,1,0,0,1,0
36,22.876306861888096,0,0,7.2292,1,0,1,0,0,0,1,0,0,1,0,1
37,21.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
38,18.0,2,0,18.0,1,0,0,0,1,1,0,0,0,1,1,0
39,14.0,1,0,11.2417,1,0,1,0,0,1,0,0,0,1,0,1
40,40.0,1,0,9.475,1,0,0,0,1,1,0,0,0,1,1,0
41,27.0,1,0,21.0,1,0,0,0,1,1,0,0,1,0,1,0
42,27.947206162930836,0,0,7.8958,1,0,1,0,0,0,1,0,0,1,1,0
43,3.0,1,2,41.5792,1,0,1,0,0,1,0,0,1,0,0,1
44,19.0,0,0,7.8792,1,0,0,1,0,1,0,0,0,1,0,1
45,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
46,33.12898535353537,1,0,15.5,1,0,0,1,0,0,1,0,0,1,1,0
47,35.295824299023515,0,0,7.75,1,0,0,1,0,1,0,0,0,1,0,1
48,23.45968333333333,2,0,21.6792,1,0,1,0,0,0,1,0,0,1,1,0
49,18.0,1,0,17.8,1,0,0,0,1,1,0,0,0,1,1,0
50,7.0,4,1,39.6875,1,0,0,0,1,0,1,0,0,1,1,0
51,21.0,0,0,7.8,1,0,0,0,1,0,1,0,0,1,1,0
52,49.0,1,0,76.7292,0,1,1,0,0,1,0,1,0,0,0,1
53,29.0,1,0,26.0,1,0,0,0,1,1,0,0,1,0,0,1
54,65.0,0,1,61.9792,0,1,1,0,0,0,1,1,0,0,1,0
55,44.064830357142846,0,0,35.5,0,1,0,0,1,0,1,1,0,0,0,1
56,21.0,0,0,10.5,1,0,0,0,1,1,0,0,1,0,0,1
57,28.5,0,0,7.2292,1,0,1,0,0,0,1,0,0,1,1,0
58,5.0,1,2,27.75,1,0,0,0,1,1,0,0,1,0,0,1
59,11.0,5,2,46.9,1,0,0,0,1,0,1,0,0,1,1,0
60,22.0,0,0,7.2292,1,0,1,0,0,0,1,0,0,1,1,0
62,45.0,1,0,83.475,0,1,0,0,1,0,1,1,0,0,1,0
63,4.0,3,2,27.9,1,0,0,0,1,0,1,0,0,1,1,0
64,41.200088477638616,0,0,27.7208,1,0,1,0,0,0,1,1,0,0,1,0
65,17.099915952380954,1,1,15.2458,1,0,1,0,0,0,1,0,0,1,0,1
66,29.0,0,0,10.5,0,1,0,0,1,1,0,0,1,0,0,1
67,19.0,0,0,8.1583,1,0,0,0,1,0,1,0,0,1,1,0
68,17.0,4,2,7.925,1,0,0,0,1,1,0,0,0,1,0,1
69,26.0,2,0,8.6625,1,0,0,0,1,0,1,0,0,1,1,0
70,32.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0,1,0
71,16.0,5,2,46.9,1,0,0,0,1,1,0,0,0,1,1,0
72,21.0,0,0,73.5,1,0,0,0,1,0,1,0,1,0,1,0
73,26.0,1,0,14.4542,1,0,1,0,0,0,1,0,0,1,1,0
74,32.0,0,0,56.4958,1,0,0,0,1,0,1,0,0,1,0,1
75,25.0,0,0,7.65,0,1,0,0,1,0,1,0,0,1,1,0
76,27.947206162930836,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,1,0
77,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
78,0.83,0,2,29.0,1,0,0,0,1,0,1,0,1,0,0,1
79,30.0,0,0,12.475,1,0,0,0,1,1,0,0,0,1,0,1
80,22.0,0,0,9.0,1,0,0,0,1,0,1,0,0,1,1,0
81,29.0,0,0,9.5,1,0,0,0,1,0,1,0,0,1,0,1
82,23.322627388583673,0,0,7.7875,1,0,0,1,0,1,0,0,0,1,0,1
83,28.0,0,0,47.1,1,0,0,0,1,0,1,1,0,0,1,0
84,17.0,0,0,10.5,1,0,0,0,1,1,0,0,1,0,0,1
85,33.0,3,0,15.85,1,0,0,0,1,1,0,0,0,1,0,1
86,16.0,1,3,34.375,1,0,0,0,1,0,1,0,0,1,1,0
87,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
88,23.0,3,2,263.0,0,1,0,0,1,1,0,1,0,0,0,1
89,24.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
90,29.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
91,20.0,0,0,7.8542,1,0,0,0,1,0,1,0,0,1,1,0
92,46.0,1,0,61.175,0,1,0,0,1,0,1,1,0,0,1,0
93,26.0,1,2,20.575,1,0,0,0,1,0,1,0,0,1,1,0
94,59.0,0,0,7.25,1,0,0,0,1,0,1,0,0,1,1,0
95,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
96,71.0,0,0,34.6542,0,1,1,0,0,0,1,1,0,0,1,0
97,23.0,0,1,63.3583,0,1,1,0,0,0,1,1,0,0,0,1
98,34.0,0,1,23.0,1,0,0,0,1,1,0,0,1,0,0,1
99,34.0,1,0,26.0,1,0,0,0,1,0,1,0,1,0,1,0
100,28.0,0,0,7.8958,1,0,0,0,1,1,0,0,0,1,1,0
101,27.947206162930836,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,1,0
102,21.0,0,1,77.2875,0,1,0,0,1,0,1,1,0,0,1,0
103,33.0,0,0,8.6542,1,0,0,0,1,0,1,0,0,1,1,0
104,37.0,2,0,7.925,1,0,0,0,1,0,1,0,0,1,1,0
105,28.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,1,0
106,21.0,0,0,7.65,1,0,0,0,1,1,0,0,0,1,0,1
107,27.51545426285116,0,0,7.775,1,0,0,0,1,0,1,0,0,1,0,1
108,38.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,1,0
109,33.55117590897664,1,0,24.15,1,0,0,1,0,1,0,0,0,1,0,1
110,47.0,0,0,52.0,0,1,0,0,1,0,1,1,0,0,1,0
111,14.5,1,0,14.4542,1,0,1,0,0,1,0,0,0,1,1,0
112,22.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
113,20.0,1,0,9.825,1,0,0,0,1,1,0,0,0,1,1,0
114,17.0,0,0,14.4583,1,0,1,0,0,1,0,0,0,1,1,0
115,21.0,0,0,7.925,1,0,0,0,1,0,1,0,0,1,1,0
116,70.5,0,0,7.75,1,0,0,1,0,0,1,0,0,1,1,0
117,29.0,1,0,21.0,1,0,0,0,1,0,1,0,1,0,1,0
118,24.0,0,1,247.5208,0,1,1,0,0,0,1,1,0,0,1,0
119,2.0,4,2,31.275,1,0,0,0,1,1,0,0,0,1,1,0
120,21.0,2,0,73.5,1,0,0,0,1,0,1,0,1,0,1,0
121,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1,1,0
122,32.5,1,0,30.0708,1,0,1,0,0,0,1,0,1,0,1,0
123,32.5,0,0,13.0,0,1,0,0,1,1,0,0,1,0,0,1
124,54.0,0,1,77.2875,0,1,0,0,1,0,1,1,0,0,1,0
125,12.0,1,0,11.2417,1,0,1,0,0,0,1,0,0,1,0,1
126,35.295824299023515,0,0,7.75,1,0,0,1,0,0,1,0,0,1,1,0
127,24.0,0,0,7.1417,1,0,0,0,1,0,1,0,0,1,0,1
128,25.78337698412699,1,1,22.3583,0,1,1,0,0,1,0,0,0,1,0,1
129,45.0,0,0,6.975,1,0,0,0,1,0,1,0,0,1,1,0
130,33.0,0,0,7.8958,1,0,1,0,0,0,1,0,0,1,1,0
131,20.0,0,0,7.05,1,0,0,0,1,0,1,0,0,1,1,0
132,47.0,1,0,14.5,1,0,0,0,1,1,0,0,0,1,1,0
133,29.0,1,0,26.0,1,0,0,0,1,1,0,0,1,0,0,1
134,25.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0,1,0
135,23.0,0,0,15.0458,1,0,1,0,0,0,1,0,1,0,1,0
