id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
8572376015076351560,0,14103007,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ffd71479,76dc4769,1,0,16208,320,50,1800,3,167,100077,23
3131715955210332513,0,14102307,1005,0,8fda644b,25d4cfcd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,34674ab0,6569eeb3,1,0,20352,320,50,2333,0,39,-1,157
9798019916833697774,0,14102216,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,cdc5cc94,00b1f3a7,1,0,20366,320,50,2333,0,39,-1,157
3791138134943893064,1,14102408,1005,0,d8bb8687,98e6755b,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,799d2fa5,be6db1d7,1,0,16615,320,50,1863,3,39,-1,23
11080422372409233929,0,14102205,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0a945a46,8a4875bd,1,0,21724,320,50,2502,0,35,100084,221
6950792461904147417,0,14102816,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,01bd946f,c48dce72,1,0,23144,320,50,2665,0,35,-1,221
14034857033663168101,0,14102602,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,324d6925,51b00dde,dc70b0f9,1,0,17016,320,50,1873,3,39,100068,23
3206620349500958692,0,14102105,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2d905ba5,c6263d8a,1,0,15703,320,50,1722,0,35,100084,79
1493086764164646715,1,14102811,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,a0ec533d,88fbaa46,1,2,23143,320,50,2665,0,35,100176,221
4580192724611437397,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,060904bd,25730e53,d3ef648d,1,0,21647,320,50,2487,1,547,100241,51
12491523256650321413,0,14102317,1005,0,f9c69707,e16ceb4b,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,627ad1fc,1f0bc64f,1,0,21789,320,50,2512,2,303,100205,52
11333468112165103825,1,14102319,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,1d619d73,1bd6348d,1,0,20632,320,50,2374,3,39,100119,23
2204422003354784382,0,14103004,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,3913279c,ac221d6c,1,0,23804,320,50,2726,3,803,-1,229
15059370988342462934,0,14103009,1005,0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,73f539e7,ce576f14,1,0,20008,320,50,2283,0,163,-1,95
17599707302694368277,0,14102704,1005,0,c1fcc9a1,422b8953,76b2941d,ecad2386,7801e8d9,07d7df22,a99f214a,9668a8f1,d787e91b,1,0,6392,320,50,547,3,47,100084,23
11223654331998339568,0,14102503,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e4c352d5,8a4875bd,1,0,16208,320,50,1800,3,167,100074,23
